trial_number,stimulus,lexicality,duration,response,RT,accuracy
0,waper,pseudoword,0.2,0,1.108197378,1
1,river,word,0.04,1,0.57747577,1
2,candle,word,0.04,1,0.839607299,1
3,strean,pseudoword,0.04,0,0.836834665,1
4,perlun,pseudoword,0.04,,,0
5,river,word,0.2,1,1.063973876,1
6,stome,pseudoword,0.04,1,0.934569503,0
7,flomer,pseudoword,0.2,0,0.658336271,1
8,hammer,word,0.2,1,0.391814333,1
9,island,word,0.04,1,0.688592096,1
10,tible,pseudoword,0.2,0,0.443075016,1
11,forest,word,0.2,1,0.621623223,1
12,strean,pseudoword,0.2,0,0.592246981,1
13,forest,word,0.04,1,0.985764156,1
14,desern,pseudoword,0.04,0,0.720509208,1
15,kitten,word,0.2,1,0.40486289,1
16,window,word,0.2,1,0.831866088,1
17,jacket,word,0.2,1,0.606970163,1
18,stome,pseudoword,0.2,0,0.430667833,1
19,candle,word,0.2,1,0.415741871,1
20,hammer,word,0.04,1,0.762195776,1
21,morle,pseudoword,0.2,0,0.407853713,1
22,kitten,word,0.04,1,0.461303683,1
23,island,word,0.2,1,0.499291784,1
24,desern,pseudoword,0.2,0,0.513268118,1
25,sugar,word,0.04,,,0
26,waper,pseudoword,0.04,1,0.815541242,0
27,cheese,word,0.04,1,1.040611806,1
28,jacket,word,0.04,1,0.464016626,1
29,gardon,pseudoword,0.04,0,0.614267888,1
30,cheese,word,0.2,1,0.574792505,1
31,perlun,pseudoword,0.2,0,1.10888744,1
32,window,word,0.04,1,1.275169284,1
33,tible,pseudoword,0.04,0,0.833871138,1
34,hause,pseudoword,0.04,1,1.629297704,0
35,hause,pseudoword,0.2,0,0.421855884,1
36,sugar,word,0.2,1,0.456306228,1
37,flomer,pseudoword,0.04,0,0.602228895,1
38,gardon,pseudoword,0.2,0,0.832379602,1
39,morle,pseudoword,0.04,0,0.740368852,1
